F/H,sector,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat,price
1,48.0,1030,2,2,3,0.0,2,2.0,1.0,0.95
1,2.0,1925,3,3,3,0.0,0,0.0,1.0,1.77
1,15.0,4848,4,6,3,0.0,2,2.0,1.0,5.2
1,86.0,917,2,2,1,0.0,0,0.0,1.0,0.54
1,102.0,1050,2,2,2,0.0,2,0.0,1.0,0.6
1,42.0,823,2,2,3,4.0,0,0.0,1.0,1.08
0,5.0,360,4,3,2,0.0,0,0.0,0.0,0.37
1,111.0,2919,4,4,3,3.0,0,2.0,0.0,1.42
0,37.0,3240,4,4,0,0.0,0,0.0,0.0,4.5
0,57.0,3159,4,4,3,3.0,1,4.0,1.0,2.45
1,9.0,2585,3,4,3,0.0,0,1.0,1.0,2.25
1,2.0,1889,3,3,3,0.0,0,3.0,0.0,1.9
1,80.0,2043,3,3,3,4.0,0,1.0,0.0,2.86
0,39.0,1557,9,9,3,2.0,2,2.0,1.0,3.65
1,103.0,1125,2,2,2,0.0,0,0.0,1.0,0.49
1,100.0,1790,3,4,2,0.0,0,1.0,1.0,0.97
1,43.0,822,2,2,2,0.0,0,1.0,1.0,0.52
1,52.0,956,2,2,1,0.0,0,0.0,0.0,0.45
0,39.0,547,2,3,2,0.0,0,0.0,0.0,0.58
1,118.0,525,2,2,2,2.0,0,0.0,1.0,0.31
1,76.0,1800,3,3,3,0.0,2,0.0,0.0,2.1
1,34.0,5200,5,5,3,1.0,1,4.0,0.0,8.0
0,68.0,1440,4,4,3,3.0,2,1.0,0.0,3.75
0,3.0,4700,4,5,0,0.0,0,0.0,1.0,3.15
1,103.0,1530,2,2,3,2.0,0,2.0,0.0,0.85
1,4.0,3150,4,4,3,0.0,0,1.0,1.0,2.62
1,108.0,1103,2,3,3,4.0,0,0.0,0.0,0.86
1,96.0,1171,2,2,3,2.0,0,1.0,1.0,0.71
1,111.0,2575,4,5,2,0.0,0,2.0,1.0,1.25
0,60.0,3240,8,6,3,3.0,2,3.0,0.0,8.81
1,43.0,1081,3,2,3,4.0,0,0.0,1.0,0.79
1,4.0,832,2,2,3,0.0,0,1.0,1.0,0.82
1,113.0,2325,4,3,3,2.0,0,1.0,1.0,1.83
0,64.0,2160,3,2,0,3.0,0,0.0,0.0,7.0
0,71.0,540,4,4,3,0.0,0,1.0,1.0,1.45
0,102.0,2160,3,3,3,2.0,0,2.0,0.0,1.7
1,90.0,2145,3,3,3,0.0,2,1.0,1.0,3.3
1,82.0,2635,4,5,3,3.0,2,1.0,1.0,3.32
0,90.0,7000,4,5,3,0.0,2,0.0,0.0,8.6
0,8.0,2680,1,1,0,0.0,0,0.0,0.0,1.34
1,7.0,2361,3,4,3,0.0,0,1.0,1.0,1.8
0,53.0,5067,5,5,1,1.0,2,3.0,0.0,4.75
1,43.0,481,2,2,2,0.0,0,0.0,1.0,0.29
1,14.0,2215,3,4,3,0.0,0,4.0,1.0,2.65
1,80.0,1650,3,3,3,0.0,0,2.0,0.0,2.24
1,8.0,2003,3,4,3,3.0,2,1.0,1.0,1.65
1,66.0,1900,3,3,3,0.0,2,1.0,1.0,1.45
0,34.0,3600,9,9,3,1.0,0,3.0,1.0,10.75
1,37.0,1244,4,2,3,1.0,0,0.0,0.0,0.9
1,9.0,2318,3,3,2,3.0,2,1.0,1.0,2.2
0,61.0,4000,4,5,3,3.0,2,3.0,0.0,8.4
1,12.0,3880,5,5,2,0.0,0,1.0,1.0,4.1
0,37.0,3240,9,9,3,3.0,2,3.0,1.0,11.25
0,53.0,4950,3,3,2,1.0,0,0.0,0.0,5.0
1,4.0,1816,3,4,3,0.0,2,1.0,1.0,1.16
1,108.0,1423,3,3,2,4.0,0,1.0,1.0,1.16
1,108.0,1425,3,2,0,2.0,0,0.0,0.0,1.71
1,88.0,1655,3,3,3,0.0,0,0.0,1.0,1.82
0,17.0,1800,1,1,1,1.0,0,1.0,0.0,1.7
