F/H,sector,price,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat
0,105,0.37,360,4,3,2,New,0,0.0,Low
1,90,1.42,2919,4,4,3,Relatively Old,0,2.0,Low
0,28,4.5,3240,4,4,0,New,0,0.0,Low
0,43,2.45,3159,4,4,3,Relatively Old,1,4.0,Mid 
1,109,2.25,2585,3,4,3,New,0,1.0,Mid 
1,102,1.9,1889,3,3,3,New,0,3.0,Low
1,65,2.86,2043,3,3,3,Under Construction,0,1.0,Low
0,3,3.65,1557,9,9,3,Relatively New,2,2.0,Mid 
1,84,0.49,1125,2,2,2,New,0,0.0,Mid 
1,82,0.97,1790,3,4,2,New,0,1.0,Mid 
1,35,0.52,822,2,2,2,New,0,1.0,Mid 
1,3A,0.45,956,2,2,1,New,0,0.0,Low
0,3,0.58,547,2,3,2,New,0,0.0,Low
1,99A,0.31,525,2,2,2,Relatively New,0,0.0,Mid 
1,61,2.1,1800,3,3,3,New,2,0.0,Low
1,25,8.0,5200,5,5,3,Old,1,4.0,Low
0,54,3.75,1440,4,4,3,Relatively Old,2,1.0,Low
0,103,3.15,4700,4,5,0,New,0,0.0,Mid 
1,84,0.85,1530,2,2,3,Relatively New,0,2.0,Low
1,104,2.62,3150,4,4,3,New,0,1.0,Mid 
1,89,0.86,1103,2,3,3,Under Construction,0,0.0,Low
1,79,0.71,1171,2,2,3,Relatively New,0,1.0,Mid 
1,90,1.25,2575,4,5,2,New,0,2.0,Mid 
0,47,8.81,3240,8,6,3,Relatively Old,2,3.0,Low
1,35,0.79,1081,3,2,3,Under Construction,0,0.0,Mid 
1,104,0.82,832,2,2,3,New,0,1.0,Mid 
1,92,1.83,2325,4,3,3,Relatively New,0,1.0,Mid 
0,50,7.0,2160,3,2,0,Relatively Old,0,0.0,Low
0,57,1.45,540,4,4,3,New,0,1.0,Mid 
0,83,1.7,2160,3,3,3,Relatively New,0,2.0,Low
1,72,3.3,2145,3,3,3,New,2,1.0,Mid 
1,67,3.32,2635,4,5,3,Relatively Old,2,1.0,Mid 
0,72,8.6,7000,4,5,3,New,2,0.0,Low
0,108,1.34,2680,1,1,0,New,0,0.0,Low
1,107,1.8,2361,3,4,3,New,0,1.0,Mid 
0,4,4.75,5067,5,5,1,Old,2,3.0,Low
1,35,0.29,481,2,2,2,New,0,0.0,Mid 
1,111,2.65,2215,3,4,3,New,0,4.0,Mid 
1,65,2.24,1650,3,3,3,New,0,2.0,Low
1,108,1.65,2003,3,4,3,Relatively Old,2,1.0,Mid 
1,52,1.45,1900,3,3,3,New,2,1.0,Mid 
0,25,10.75,3600,9,9,3,Old,0,3.0,Mid 
1,28,0.9,1244,4,2,3,Old,0,0.0,Low
1,109,2.2,2318,3,3,2,Relatively Old,2,1.0,Mid 
0,48,8.4,4000,4,5,3,Relatively Old,2,3.0,Low
1,110,4.1,3880,5,5,2,New,0,1.0,Mid 
0,28,11.25,3240,9,9,3,Relatively Old,2,3.0,Mid 
0,4,5.0,4950,3,3,2,Old,0,0.0,Low
1,104,1.16,1816,3,4,3,New,2,1.0,Mid 
1,89,1.16,1423,3,3,2,Under Construction,0,1.0,Mid 
1,89,1.71,1425,3,2,0,Relatively New,0,0.0,Low
1,70A,1.82,1655,3,3,3,New,0,0.0,Mid 
0,12,1.7,1800,1,1,1,Old,0,1.0,Low
1,108,0.7,1505,2,2,2,New,0,0.0,Low
1,81,2.4,2132,3,3,2,New,1,1.0,Mid 
0,70A,4.02,5500,4,4,3,New,0,4.0,Mid 
1,49,2.1,2016,3,3,3,Relatively Old,2,1.0,Mid 
1,85,1.1,1645,3,4,3,Relatively Old,1,1.0,Mid 
1,48,5.15,2464,3,3,3,Relatively Old,1,1.0,Mid 
1,106,1.25,1130,3,4,3,New,0,2.0,Mid 
1,89,1.2,1423,3,3,2,Relatively New,0,0.0,Low
1,68,0.93,1080,2,2,2,Relatively New,0,0.0,Low
1,54,7.0,3000,4,6,3,Relatively Old,2,3.0,Mid 
1,67A,1.5,1350,2,2,2,New,2,1.0,Low
1,3,0.5,650,2,2,1,Old,2,0.0,Low
1,37C,1.43,1990,3,3,3,New,0,2.0,Low
0,3,1.0,1137,3,2,2,Old,0,1.0,Low
1,84,0.9,1450,3,3,3,New,0,0.0,Mid 
0,3A,0.8,675,5,3,1,Relatively Old,0,0.0,Low
1,107,0.8,1366,2,2,3,New,2,0.0,Mid 
0,109,6.8,5400,4,5,3,New,0,1.0,Low
1,65,2.35,1450,3,3,3,New,2,2.0,Mid 
1,23,0.64,850,2,2,1,Relatively Old,2,0.0,Low
1,99A,0.3,450,2,1,0,New,0,0.0,Low
0,43,15.5,5490,5,6,3,Relatively Old,0,4.0,Mid 
0,49,3.75,1467,6,6,3,Relatively Old,0,1.0,Low
1,92,0.65,1370,3,2,3,New,0,0.0,Low
1,86,1.3,1930,3,3,3,New,2,2.0,Low
1,56,2.0,2400,4,4,3,New,2,1.0,Low
1,81,0.87,1094,2,2,3,New,0,0.0,Mid 
1,102,1.42,1650,3,3,3,New,0,1.0,Mid 
1,85,1.09,1635,2,2,3,New,0,1.0,Mid 
1,1,0.9,2588,3,3,3,Relatively Old,0,1.0,Low
1,33,1.5,1471,2,2,3,Under Construction,0,0.0,Mid 
0,109,6.75,6228,4,4,3,Relatively New,0,2.0,Mid 
1,79,1.2,1490,3,3,3,New,2,0.0,Low
0,53,4.0,2250,5,5,2,New,0,1.0,Low
1,28,2.26,1650,3,3,2,Old,0,1.0,Mid 
0,35,0.49,1150,2,2,1,Relatively New,0,0.0,Low
0,28,12.0,2844,4,5,3,New,2,3.0,Mid 
0,6,0.85,1100,2,2,0,Old,0,0.0,Low
1,70,1.62,1950,3,5,3,New,0,1.0,Low
0,49,2.95,1800,3,3,3,Relatively Old,2,1.0,Mid 
1,58,3.83,1775,3,4,2,New,2,2.0,Mid 
1,68,1.8,1950,3,3,3,New,2,0.0,Mid 
0,9,3.2,2367,3,3,2,Old,2,0.0,Low
1,91,0.95,1596,2,2,2,New,0,0.0,Mid 
0,43,5.3,1935,9,9,3,Relatively Old,2,1.0,Mid 
0,3,5.7,2518,9,9,3,Relatively Old,2,1.0,Low
1,35,0.88,791,2,2,2,New,1,0.0,Mid 
1,35,0.35,625,2,2,2,New,0,0.0,Mid 
1,85,1.2,1678,2,2,3,New,0,0.0,Low
0,8,1.4,1700,2,2,1,New,0,0.0,Low
1,67,1.0,1554,3,3,3,Relatively Old,0,0.0,Low
1,104,1.83,2290,3,4,3,New,0,1.0,Mid 
1,49,4.16,3556,5,4,3,New,0,2.0,Low
1,71,0.98,1620,3,3,3,Relatively Old,0,1.0,Mid 
1,103,0.3,362,1,2,2,Relatively New,0,0.0,Low
1,77,2.1,2025,3,3,3,Relatively New,0,2.0,Low
0,38,3.5,1440,3,3,2,New,0,0.0,Low
1,92,0.5,640,3,3,1,Relatively New,1,0.0,Mid 
1,36A,0.65,726,2,2,2,New,0,0.0,Mid 
0,66,19.0,6000,5,6,3,New,2,3.0,Mid 
1,56,1.7,2200,3,3,3,Relatively Old,0,1.0,Low
