F/H,sector,price,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat
1,89,1.7,1750,3,3,3,Under Construction,0,1.0,Mid 
1,104,1.4,885,3,2,2,Under Construction,0,0.0,Low
1,109,2.3,2585,3,4,3,Relatively New,0,2.0,Mid 
1,102,1.25,1266,2,2,2,New,0,0.0,Mid 
1,3,1.51,1919,3,4,3,Relatively Old,2,1.0,Mid 
0,3,2.5,1557,4,4,2,Old,0,0.0,Low
1,70A,2.5,2150,3,3,3,New,2,1.0,Mid 
1,66,3.0,2764,4,4,3,New,2,4.0,Mid 
1,71,1.32,2193,4,4,3,Relatively Old,0,1.0,Mid 
1,89,1.3,1494,3,3,2,Relatively New,0,1.0,Low
1,35,0.32,580,2,2,1,Relatively New,0,0.0,Low
1,74,1.54,1424,2,2,3,New,0,1.0,Mid 
1,109,2.2,2095,3,4,3,New,0,1.0,Mid 
0,47,1.15,2475,3,3,3,Old,2,0.0,Low
0,109,6.0,6228,4,5,3,Relatively Old,0,0.0,Mid 
1,104,0.9,1259,2,2,0,New,0,0.0,Low
1,84,0.94,1343,3,2,3,Relatively New,2,1.0,Mid 
1,77,1.75,1500,3,3,3,New,0,1.0,Mid 
1,71,1.15,1762,3,3,2,Relatively Old,2,1.0,Mid 
1,66,1.9,1800,3,4,2,New,2,1.0,Mid 
1,113,2.7,1650,3,4,3,New,2,1.0,Low
1,66,2.1,1700,3,4,2,New,2,1.0,Mid 
1,92,1.3,2040,4,4,0,New,0,0.0,Low
1,102,2.12,1852,3,3,3,Relatively New,0,0.0,Mid 
1,82,1.12,1400,3,4,2,New,0,2.0,Mid 
1,69,1.8,1704,3,3,3,Under Construction,0,0.0,Low
1,92,0.7,1326,3,2,2,New,0,0.0,Mid 
0,89,0.52,900,3,2,2,Relatively New,0,0.0,Low
1,113,1.38,1150,2,2,3,Relatively New,0,1.0,Mid 
1,112,3.65,3194,3,5,2,New,0,1.0,Mid 
0,14,5.51,3243,3,3,2,Relatively Old,0,0.0,Low
1,82,1.15,1790,3,4,2,New,2,2.0,Mid 
1,103,1.35,1790,3,3,3,New,2,1.0,Mid 
0,17B,8.5,4518,4,4,2,Old,2,3.0,Low
1,3,1.4,1780,3,3,3,Old,1,0.0,Mid 
1,88A,1.15,1167,2,2,1,Relatively New,0,1.0,Mid 
0,5,0.7,909,2,2,0,Relatively Old,2,0.0,Low
1,85,2.1,2812,4,5,3,New,2,0.0,Mid 
0,73,17.0,4842,5,8,3,New,1,4.0,Mid 
0,37D,1.16,1539,1,1,0,New,0,0.0,Low
0,28,5.5,1800,4,3,3,Old,2,2.0,Low
1,99A,0.32,580,2,2,1,Relatively New,0,0.0,Low
1,102,1.82,1942,3,4,3,Relatively Old,0,1.0,Mid 
1,48,4.3,3100,4,5,3,Relatively New,0,3.0,Mid 
1,104,1.58,1733,2,3,3,New,0,1.0,Mid 
1,69,1.19,1350,2,3,1,New,0,1.0,Mid 
1,10A,2.3,3557,6,4,2,Relatively Old,0,0.0,Low
1,77,1.9,2000,3,4,3,Relatively New,2,1.0,Low
1,92,0.65,1414,3,3,3,Relatively Old,0,0.0,Low
1,3,0.8,1300,3,3,1,Old,0,0.0,Low
1,85,2.15,1968,4,5,3,New,0,1.0,Mid 
1,84,0.3,450,1,1,1,Relatively New,2,0.0,Low
1,89,1.3,1910,3,3,3,Relatively New,0,1.0,Low
1,108,2.0,2338,3,3,3,New,0,1.0,Mid 
1,9A,0.95,1550,3,3,2,Relatively Old,0,1.0,Low
1,61,2.3,1630,3,3,2,Under Construction,0,1.0,Mid 
1,67A,2.08,1727,3,3,2,Under Construction,0,1.0,Mid 
1,102,1.49,1650,3,3,3,New,2,0.0,Mid 
1,105,0.42,1000,3,2,1,New,0,0.0,Low
1,69,1.4,1570,3,3,1,New,0,1.0,Mid 
1,85,1.25,2120,3,4,2,New,2,1.0,Mid 
1,48,2.0,2576,3,3,0,New,0,1.0,Mid 
0,43,27.5,11286,6,7,3,New,2,4.0,Low
0,25,15.0,6400,5,5,3,Relatively Old,2,3.0,Mid 
1,99A,1.45,1997,3,5,3,New,2,2.0,Low
1,37C,0.99,1815,3,4,3,New,0,1.0,Low
1,103,1.12,1991,3,4,3,Relatively New,0,1.0,Low
1,28,2.2,1760,3,4,3,Relatively Old,1,1.0,Low
1,95,0.33,844,2,2,1,Relatively New,2,1.0,Mid 
1,86,1.65,1895,3,4,3,New,0,1.0,Mid 
0,3,1.15,594,3,3,2,Old,2,0.0,Low
1,50,6.0,4889,4,3,3,Relatively Old,0,1.0,Low
1,72,3.19,2625,4,5,3,New,2,1.0,Mid 
1,65,3.2,3150,4,3,2,New,0,1.0,Low
0,57,3.5,1620,4,4,3,Old,2,1.0,Mid 
1,67,2.87,2411,3,3,3,New,2,1.0,Mid 
1,102,2.15,2310,3,4,3,New,0,2.0,Mid 
1,102,1.45,1650,3,3,3,New,0,1.0,Low
1,67,4.75,3410,4,4,3,New,2,4.0,Mid 
1,108,0.87,734,2,3,3,New,2,1.0,Mid 
1,53,6.44,3389,4,4,3,Relatively Old,2,1.0,Mid 
1,93,1.45,1805,3,4,2,New,2,0.0,Mid 
1,109,1.75,2150,3,4,3,New,0,2.0,Mid 
1,108,1.2,1758,3,3,3,New,0,1.0,Mid 
1,35,0.42,654,2,2,2,Relatively New,0,0.0,Mid 
1,102,1.98,2000,3,3,3,New,2,1.0,Mid 
1,77,1.25,1450,3,4,3,New,0,2.0,Low
1,52,1.76,2430,4,4,3,Relatively New,0,0.0,Low
0,23A,5.5,4200,9,9,3,Relatively Old,2,2.0,Low
0,21A,5.7,4851,5,4,2,Relatively Old,2,3.0,Low
1,110A,1.8,2042,3,3,3,New,2,1.0,Mid 
1,86,1.5,1929,3,3,1,New,0,0.0,Mid 
1,81,2.25,2132,3,3,3,Relatively New,1,1.0,Mid 
1,35,0.68,824,2,2,2,Relatively New,0,0.0,Mid 
1,84,1.15,1534,2,2,3,New,2,1.0,Low
0,3A,0.65,630,1,1,1,Relatively Old,0,1.0,Low
1,45,2.4,1944,3,3,2,Relatively New,2,1.0,Low
0,70A,6.5,2332,4,4,3,Relatively New,2,3.0,Mid 
1,103,0.99,1488,3,4,3,New,0,2.0,Mid 
0,109,5.65,5400,4,4,3,Relatively New,2,2.0,Low
1,1,0.73,2051,3,3,3,Relatively Old,0,1.0,Mid 
1,65,3.5,1975,4,4,3,New,2,1.0,Mid 
1,85,1.31,1640,2,2,2,New,0,1.0,Mid 
0,50,10.3,3240,5,6,3,Relatively Old,2,4.0,Mid 
1,50,1.05,988,2,2,2,Relatively Old,0,0.0,Mid 
1,86,0.6,750,3,2,2,Relatively New,0,0.0,Low
1,84,0.35,483,2,2,2,New,0,0.0,Low
1,65,2.78,1829,3,3,3,New,0,0.0,Mid 
1,103,1.25,1811,3,4,3,Under Construction,0,2.0,Mid 
1,65,5.9,3363,3,3,3,Relatively Old,1,1.0,Low
1,102,1.1,903,2,2,1,Under Construction,0,0.0,Mid 
1,35,0.65,822,2,1,2,Relatively New,0,0.0,Mid 
1,108,3.95,2343,4,5,3,New,0,0.0,Mid 
1,70,1.25,1865,3,3,3,Under Construction,0,0.0,Mid 
1,69,3.25,3216,4,5,3,New,0,2.0,Low
1,50,2.35,2069,3,3,3,Relatively Old,2,0.0,Low
0,3,0.9,1008,3,1,0,Relatively Old,0,0.0,Low
1,65,3.0,1975,4,4,3,New,0,1.0,Mid 
1,11,0.3,652,2,2,2,New,0,0.0,Low
0,23,5.0,3078,4,4,2,Old,0,0.0,Low
1,68,0.9,1180,2,2,2,Relatively New,0,0.0,Low
1,90,1.65,2364,4,4,3,Relatively Old,2,1.0,Mid 
0,3,0.85,900,5,3,3,Relatively Old,0,0.0,Low
1,107,0.82,1366,2,2,3,New,0,0.0,Mid 
1,67,4.5,3154,4,4,3,New,2,1.0,Mid 
1,54,4.85,1607,3,4,3,Relatively Old,1,1.0,Mid 
0,1,4.0,2499,3,3,2,Relatively Old,2,1.0,Mid 
1,95,0.2,357,1,1,1,New,0,1.0,Mid 
0,13,1.5,1426,2,2,2,Old,0,2.0,Low
1,69,1.2,1100,2,3,0,New,0,0.0,Mid 
1,90,1.9,3343,4,4,3,New,0,2.0,Mid 
1,92,0.61,1261,3,2,2,Under Construction,0,1.0,Low
0,3,0.98,1080,9,4,3,Relatively Old,0,0.0,Low
1,85,1.3,1240,2,2,3,New,0,1.0,Mid 
1,85,1.5,2560,4,5,3,Relatively New,2,1.0,Low
1,3,3.35,4500,4,4,3,Relatively New,0,1.0,Mid 
1,102,1.28,1215,2,2,3,New,0,0.0,Low
1,79,0.9,1530,2,2,3,New,0,1.0,Mid 
1,83,1.76,1900,3,3,3,New,2,1.0,Mid 
0,24,2.6,1080,4,4,3,New,1,3.0,Low
0,86,2.5,3194,4,5,3,Relatively Old,2,3.0,Low
0,10,0.45,540,4,2,1,New,0,0.0,Low
0,3,4.95,2430,6,5,3,New,0,1.0,Mid 
1,109,2.22,2095,3,4,3,New,0,4.0,Low
1,43,2.5,1935,3,3,2,Relatively New,0,0.0,Low
0,7,1.16,990,5,4,2,Old,0,0.0,Low
1,45,1.49,1750,3,2,3,Old,1,0.0,Mid 
1,37D,1.1,1350,3,3,1,Under Construction,0,1.0,Low
0,50,7.42,2160,4,4,3,Old,2,0.0,Mid 
1,37C,0.7,1435,2,3,3,Under Construction,0,2.0,Mid 
1,109,2.15,2095,3,4,3,New,0,1.0,Mid 
1,85,1.05,1640,2,2,3,New,0,1.0,Low
1,109,1.65,2150,3,3,3,New,2,1.0,Low
1,37C,0.66,1310,2,2,3,New,0,0.0,Mid 
1,93,0.4,544,2,2,2,Relatively New,0,0.0,Low
1,35,0.71,1447,2,2,3,New,0,1.0,Low
1,107,0.28,489,2,2,2,New,0,0.0,Low
1,56,1.55,2250,3,3,3,Relatively Old,2,2.0,Mid 
1,66,3.5,2200,3,3,3,Relatively Old,2,2.0,Mid 
1,68,1.0,1225,2,2,2,Relatively New,0,1.0,Mid 
0,22,4.7,2368,6,6,3,Old,2,2.0,Mid 
1,88A,1.45,1733,2,2,3,New,1,1.0,Mid 
1,111,3.9,3000,4,5,3,New,1,1.0,Mid 
1,79,1.2,867,3,3,3,New,2,2.0,Mid 
0,70A,5.4,2610,4,5,3,New,2,4.0,Mid 
1,35,0.75,1081,3,2,3,Relatively New,0,0.0,Mid 
1,69,1.72,1970,4,4,1,New,0,0.0,Mid 
1,105,0.95,3601,2,2,1,Relatively New,0,1.0,Low
0,7,1.2,1072,5,4,2,Old,0,0.0,Low
1,82,1.0,1688,2,2,2,New,2,1.0,Mid 
1,108,3.0,1631,4,5,3,New,1,1.0,Mid 
1,37C,0.45,1000,3,3,2,Under Construction,0,0.0,Low
0,35,1.5,1053,2,3,2,Relatively New,2,2.0,Mid 
0,12,0.8,1200,8,8,2,New,0,0.0,Low
1,3A,0.43,650,2,2,1,New,0,0.0,Low
1,88A,1.38,2066,3,3,3,New,0,1.0,Mid 
1,104,0.85,1446,2,2,3,New,0,1.0,Mid 
1,48,1.6,1910,3,3,3,Old,2,1.0,Mid 
1,33,1.4,650,3,3,3,Under Construction,0,0.0,Mid 
1,65,6.15,3844,3,5,3,New,1,1.0,Low
1,99,0.92,1365,2,2,3,Under Construction,0,0.0,Mid 
1,92,1.1,2350,3,2,3,New,0,0.0,Low
1,79,1.25,1490,3,3,3,New,0,2.0,Mid 
1,69,1.75,1970,4,4,1,New,0,0.0,Mid 
0,7,0.45,900,3,2,1,Old,0,1.0,Low
1,33,1.1,1380,2,2,2,Under Construction,0,0.0,Mid 
1,102,0.47,526,2,2,1,New,0,1.0,Mid 
1,66,1.7,1259,2,2,2,New,0,1.0,Mid 
0,14,7.5,4518,3,3,2,Old,2,3.0,Low
1,88B,0.92,1350,2,2,3,Relatively New,0,0.0,Low
1,35,0.21,394,1,1,1,New,0,0.0,Low
0,14,3.5,1935,6,4,2,Old,2,1.0,Low
1,107,0.36,547,2,2,2,New,0,0.0,Low
0,26,4.6,3771,4,4,3,Old,0,0.0,Low
0,3,2.68,1557,4,3,2,Relatively Old,2,1.0,Mid 
1,88A,0.45,626,2,2,1,Relatively New,0,0.0,Low
1,108,2.28,2779,4,5,3,New,0,0.0,Mid 
1,63A,3.5,1350,3,3,3,Under Construction,0,0.0,Low
1,50,2.7,2705,3,3,3,Relatively Old,0,1.0,Mid 
0,49,4.05,1950,3,3,3,Relatively Old,0,2.0,Low
1,35,0.72,1202,2,2,3,New,0,1.0,Mid 
1,78,1.05,1853,3,3,3,Relatively Old,0,0.0,Low
1,81,0.9,1780,3,3,0,New,0,0.0,Low
1,52,5.0,6500,5,7,3,Relatively Old,0,2.0,Mid 
1,69,1.7,1971,4,4,1,New,0,0.0,Mid 
0,26,4.45,1265,4,4,3,Old,0,0.0,Low
1,25,3.4,2470,4,4,3,Old,0,1.0,Low
1,37D,1.8,2191,4,3,3,New,0,3.0,Low
1,92,0.95,2000,4,3,2,Relatively New,0,0.0,Low
1,33,0.4,623,2,2,2,Under Construction,0,0.0,Low
0,82A,3.85,5133,5,6,3,New,0,0.0,Mid 
1,70,1.75,1950,3,5,0,New,0,0.0,Low
1,81,0.95,894,2,2,2,New,2,0.0,Mid 
1,107,0.36,602,2,2,1,New,0,1.0,Low
1,67A,1.8,1228,3,3,3,Relatively New,2,2.0,Mid 
1,92,0.78,700,2,2,3,Under Construction,0,1.0,Low
1,110,4.0,4061,4,4,3,Relatively New,0,0.0,Mid 
1,86,0.43,501,2,2,1,Relatively New,0,1.0,Mid 
1,47,2.4,2086,3,4,3,Relatively Old,0,1.0,Mid 
1,35,0.3,640,2,2,2,New,0,0.0,Low
1,85,0.9,1400,3,3,2,New,0,0.0,Mid 
1,22,2.55,1860,3,3,3,New,1,0.0,Low
1,86,1.55,1930,3,3,3,New,0,0.0,Low
0,57,3.65,3450,6,6,2,Relatively Old,1,4.0,Mid 
1,99A,1.1,1550,2,2,3,Relatively New,0,1.0,Mid 
1,69,1.68,2010,4,4,2,New,0,0.0,Mid 
1,102,2.5,1786,3,3,3,Under Construction,0,0.0,Mid 
1,63A,1.65,1081,2,2,2,Under Construction,0,0.0,Low
1,3,1.18,1565,2,2,3,Old,0,1.0,Mid 
0,39,1.6,892,1,1,2,Old,0,0.0,Low
0,12,0.35,360,2,1,0,Old,0,0.0,Low
1,43,2.0,1407,3,3,2,Relatively Old,0,0.0,Mid 
1,35,0.4,893,2,2,2,New,0,0.0,Low
1,108,2.9,2003,3,4,2,New,0,0.0,Mid 
1,69,1.65,1860,3,3,2,New,2,0.0,Mid 
1,37D,1.78,2191,4,3,3,New,0,1.0,Mid 
1,84,1.15,1534,2,2,3,New,0,1.0,Low
1,37C,1.1,2035,3,4,3,New,0,2.0,Low
1,54,6.75,2704,4,4,2,Relatively Old,1,1.0,Mid 
1,67,2.99,2527,3,3,3,New,2,1.0,Low
1,36A,0.5,600,1,1,1,New,0,0.0,Low
1,81,2.35,2092,3,4,3,New,0,1.0,Mid 
1,89,0.9,1105,2,2,2,Relatively New,0,0.0,Low
1,69,2.06,1809,3,3,3,New,0,0.0,Low
1,65,1.95,1400,3,3,3,Relatively New,2,1.0,Mid 
1,89,0.75,1140,2,2,2,Relatively Old,0,0.0,Low
1,12,0.72,990,2,2,1,New,2,1.0,Low
1,110,4.25,3880,5,5,3,New,0,1.0,Mid 
1,83,1.18,1735,3,3,2,New,0,0.0,Low
1,56,2.05,2400,4,4,3,Relatively Old,2,0.0,Low
1,103,0.89,1450,2,3,3,New,0,1.0,Mid 
1,83,1.19,1647,2,2,3,New,0,0.0,Low
1,3,1.1,1057,2,2,2,Under Construction,0,0.0,Mid 
1,99A,0.85,1252,2,2,2,Relatively New,0,0.0,Low
1,70A,2.75,2150,3,3,3,New,0,0.0,Low
1,69,1.4,1538,3,3,1,New,2,0.0,Mid 
0,26,4.5,1350,3,3,2,Relatively Old,0,2.0,Mid 
0,24,1.45,4860,3,3,1,Old,0,0.0,Low
1,65,2.35,1650,3,3,3,New,0,2.0,Mid 
0,45,16.0,4571,6,7,3,New,2,4.0,Mid 
1,69,1.8,2000,4,5,3,New,0,1.0,Mid 
0,11,1.05,1080,3,2,0,New,0,0.0,Low
1,11,0.35,720,2,2,2,Relatively New,0,0.0,Mid 
1,35,0.4,623,2,2,1,Relatively New,0,0.0,Low
1,37D,1.2,2000,3,2,1,Under Construction,0,2.0,Mid 
1,61,1.47,1150,2,2,2,Relatively New,0,2.0,Mid 
0,48,8.5,4000,4,5,3,Relatively Old,2,4.0,Low
1,111,1.65,2325,3,4,3,Under Construction,0,2.0,Low
1,59,5.8,3025,3,4,3,Relatively New,2,1.0,Low
1,90,1.25,1935,3,3,3,New,2,1.0,Low
0,25,13.5,3618,5,6,3,Old,2,1.0,Mid 
0,12,2.5,1800,9,5,2,Old,0,1.0,Low
0,43,2.15,1650,1,1,0,New,0,0.0,Low
0,13,0.9,785,5,4,3,Relatively Old,0,4.0,Low
1,70A,2.3,2150,3,3,3,New,2,1.0,Mid 
1,78,1.25,2500,4,4,3,New,0,3.0,Mid 
1,85,2.0,3040,4,5,3,New,0,2.0,Mid 
1,110A,2.25,2428,4,4,3,New,0,1.0,Mid 
1,72,5.25,3355,4,4,3,Relatively New,2,1.0,Mid 
1,85,0.88,1478,3,3,1,New,0,0.0,Mid 
0,57,4.6,2700,6,6,3,Old,1,4.0,Mid 
1,104,2.49,2450,3,3,3,New,2,1.0,Mid 
1,92,0.45,750,3,3,1,New,0,0.0,Low
0,9,3.5,2610,9,9,3,New,0,1.0,Low
1,103,1.01,1250,2,2,3,New,2,1.0,Mid 
1,22,4.1,1459,3,3,3,Relatively New,1,0.0,Mid 
1,90,1.26,1702,3,3,3,New,2,1.0,Low
0,67,8.0,3600,6,7,3,Relatively Old,2,4.0,Mid 
1,67,3.39,2358,3,4,3,New,2,1.0,Low
0,86,2.5,3542,4,4,3,Relatively Old,2,4.0,Mid 
1,78,0.75,1239,2,2,1,Relatively Old,0,0.0,Low
1,85,2.1,2812,4,4,3,New,0,0.0,Low
1,3,0.4,465,1,1,1,Relatively Old,2,0.0,Low
0,50,8.45,3231,3,3,2,Old,2,2.0,Mid 
0,3,5.0,4000,6,4,0,Relatively Old,0,0.0,Low
1,106,1.5,2355,4,6,3,New,0,1.0,Mid 
1,92,0.85,1300,3,2,2,New,0,0.0,Low
1,86,1.28,1560,3,4,3,Relatively Old,0,2.0,Mid 
1,102,1.95,2579,3,4,3,New,2,2.0,Mid 
1,58,2.2,1375,2,2,1,New,2,1.0,Low
1,35,0.56,822,2,2,3,Relatively New,0,0.0,Mid 
1,78,0.88,1854,3,4,3,Relatively Old,0,2.0,Mid 
1,81,2.7,2109,3,3,3,New,2,1.0,Low
1,102,2.22,1600,3,4,3,New,0,2.0,Mid 
1,104,1.08,1756,3,3,0,Under Construction,0,0.0,Low
1,83,1.05,1400,3,2,2,Relatively Old,2,0.0,Mid 
1,95A,0.41,562,2,2,2,Relatively New,2,0.0,Mid 
1,108,3.95,2343,3,4,2,New,0,1.0,Low
1,81,1.15,1660,3,2,3,New,0,0.0,Mid 
1,35,0.9,1120,3,2,2,Under Construction,0,0.0,Mid 
1,107,0.8,1366,2,2,3,Relatively New,0,0.0,Mid 
0,3,5.6,3240,8,6,3,Relatively Old,0,4.0,Low
1,1,0.85,1666,3,2,2,Relatively Old,0,0.0,Low
1,54,6.75,3160,4,6,3,Relatively Old,2,1.0,Mid 
1,102,2.05,2076,3,4,3,New,0,1.0,Mid 
0,28,2.1,900,8,8,3,Relatively Old,2,1.0,Low
1,99A,1.3,1997,3,3,0,New,0,0.0,Low
1,47,2.15,2086,3,4,3,Relatively Old,0,1.0,Low
1,70A,0.95,930,2,2,1,Relatively New,2,0.0,Mid 
0,3,0.75,1170,4,2,2,Old,0,0.0,Low
1,74,1.47,1342,2,2,3,Relatively New,2,0.0,Low
0,6,0.75,900,2,3,2,Old,0,0.0,Low
0,25,10.0,2700,5,5,3,Relatively Old,1,2.0,Low
1,76,3.5,2937,3,4,3,Under Construction,0,0.0,Low
1,109,1.8,2030,3,3,2,Relatively Old,0,1.0,Mid 
1,79,0.71,1286,2,2,0,Under Construction,0,0.0,Low
1,81,2.91,3185,4,5,2,New,2,1.0,Mid 
1,88A,1.29,1654,3,3,3,Relatively New,0,2.0,Mid 
1,109,1.7,1745,3,3,3,Relatively Old,0,0.0,Low
1,79,1.1,1415,2,2,3,Relatively New,2,0.0,Low
1,109,1.4,1750,3,3,3,New,0,1.0,Mid 
1,28,2.3,1946,3,3,3,Relatively Old,0,1.0,Mid 
0,3,7.2,5400,4,4,3,Old,1,2.0,Low
1,48,1.38,1455,3,3,1,New,0,0.0,Mid 
1,74,1.55,1124,2,2,3,New,0,1.0,Mid 
1,61,1.47,1200,2,2,2,Under Construction,0,1.0,Mid 
1,50,2.35,1997,3,3,3,Relatively Old,2,0.0,Mid 
1,65,6.15,3355,3,4,2,New,0,0.0,Low
1,102,1.4,1650,3,3,3,New,0,1.0,Low
1,83,1.25,1600,4,4,3,Relatively Old,0,1.0,Mid 
1,92,1.0,1950,4,3,2,New,0,0.0,Low
0,13,4.5,4950,4,5,2,Old,0,0.0,Low
1,90,1.75,2215,4,4,3,New,0,1.0,Low
1,35,0.25,600,1,1,1,New,0,0.0,Low
1,35,0.55,748,2,2,3,Relatively New,0,0.0,Mid 
1,70A,1.69,1976,3,3,3,Relatively New,0,1.0,Mid 
1,111,2.25,1700,3,3,2,New,0,0.0,Mid 
1,110,1.6,5346,2,2,2,New,0,0.0,Low
1,70,1.75,1950,3,4,2,New,0,2.0,Low
1,65,2.29,1650,3,4,3,New,1,2.0,Mid 
1,102,1.35,1650,3,3,3,New,0,1.0,Mid 
1,85,1.25,2120,3,4,2,New,2,1.0,Low
1,50,1.82,1836,3,3,3,Relatively Old,2,1.0,Mid 
0,26,19.0,4500,6,8,3,Relatively Old,2,4.0,Mid 
0,35,0.07,277,1,1,0,New,0,0.0,Low
0,63A,8.5,3132,6,6,3,Under Construction,0,2.0,Low
1,65,3.0,1828,3,3,3,Under Construction,0,0.0,Mid 
0,50,12.5,3060,4,4,3,New,1,2.0,Mid 
1,72,6.75,3500,4,4,3,Relatively New,2,1.0,Mid 
1,35,0.24,340,1,1,1,New,0,0.0,Mid 
1,69,1.68,2010,4,4,2,New,0,1.0,Mid 
1,37D,0.6,650,2,2,3,Relatively New,0,0.0,Low
1,48,2.7,2305,3,3,3,New,2,2.0,Mid 
1,65,1.42,1020,2,2,2,New,2,1.0,Mid 
1,85,1.78,2408,3,4,3,Relatively New,0,1.0,Mid 
0,3A,0.37,467,1,1,1,New,0,0.0,Low
0,38,4.3,1494,9,9,3,New,2,2.0,Low
0,26,8.9,2700,4,4,3,Old,0,4.0,Mid 
1,69,1.28,1578,3,3,2,New,2,1.0,Low
1,81,2.2,2100,3,4,3,New,1,1.0,Low
1,35,1.3,1751,3,3,3,New,0,0.0,Low
0,43,2.55,1935,3,3,2,New,2,0.0,Mid 
1,89,0.97,1103,2,2,3,Relatively New,0,0.0,Low
1,108,0.98,734,2,3,3,New,0,4.0,Low
1,109,1.7,1320,3,3,3,New,0,0.0,Mid 
1,65,1.8,1314,2,2,3,Relatively New,0,0.0,Mid 
0,39,15.0,4500,5,5,3,Relatively Old,2,1.0,Low
1,89,1.0,1110,2,2,3,Relatively New,0,2.0,Mid 
1,61,1.6,1150,2,2,2,Relatively New,0,2.0,Low
1,65,2.79,1969,3,3,3,Relatively New,0,0.0,Low
1,36A,3.65,2538,3,3,2,Relatively New,0,0.0,Low
1,82A,2.6,2273,4,4,3,New,0,1.0,Low
0,22,4.75,2367,7,5,3,Old,2,2.0,Low
0,48,5.5,2340,4,4,2,New,2,1.0,Low
1,28,1.91,1150,2,2,2,Relatively New,1,0.0,Mid 
1,69,1.6,1578,3,3,2,New,0,1.0,Low
0,12,2.25,2340,3,2,1,Old,0,2.0,Low
1,92,0.78,969,2,2,2,Relatively New,2,0.0,Low
1,82,3.0,4891,4,6,3,New,2,2.0,Mid 
0,7,0.53,900,2,2,0,Old,0,0.0,Low
1,67,3.4,2358,3,4,3,New,2,1.0,Mid 
1,67,2.65,2047,3,3,3,New,2,1.0,Mid 
1,99A,1.38,1930,4,5,3,New,0,2.0,Low
1,83,1.25,1828,3,2,1,New,1,4.0,Mid 
1,66,3.4,2410,4,4,3,New,2,1.0,Mid 
0,43,13.0,2700,3,3,3,Relatively New,2,1.0,Low
0,24,3.25,1070,4,4,3,Old,0,0.0,Low
1,90,1.29,1430,3,3,3,New,0,1.0,Mid 
1,81,0.48,568,2,2,1,New,2,0.0,Mid 
1,66,3.9,2093,3,4,3,New,0,0.0,Low
1,79,1.3,1351,2,4,2,New,0,0.0,Mid 
1,70,1.9,1950,3,3,3,Relatively New,0,4.0,Low
0,28,3.5,1350,6,6,3,New,0,0.0,Low
0,57,9.25,5580,5,5,3,New,2,4.0,Mid 
1,24,6.5,3500,4,5,3,Relatively New,1,1.0,Low
1,86,0.44,601,2,2,2,New,2,0.0,Mid 
0,26,18.9,4518,6,8,2,New,2,4.0,Mid 
1,104,0.22,301,1,2,2,Relatively New,0,0.0,Mid 
1,35,0.38,750,2,2,2,New,0,0.0,Low
1,56,2.09,2400,4,4,3,New,2,1.0,Mid 
1,69,1.46,1578,3,3,2,New,2,1.0,Mid 
0,3,1.0,1215,9,7,3,Relatively Old,0,2.0,Low
1,35,0.4,595,2,2,3,Relatively New,0,0.0,Low
1,70,1.62,1161,3,3,3,New,0,1.0,Mid 
0,110,0.34,500,1,1,0,New,0,0.0,Low
1,107,1.32,2085,3,3,3,New,0,0.0,Mid 
1,95,0.28,767,2,2,2,Relatively New,0,1.0,Low
1,81,2.45,2132,3,3,2,New,2,1.0,Mid 
1,86,1.55,1929,3,3,3,New,1,1.0,Mid 
1,35,0.95,1465,2,2,3,Relatively New,0,1.0,Mid 
0,11,0.45,450,5,3,0,New,0,0.0,Low
0,63,1.5,2385,3,3,2,Relatively New,0,0.0,Low
0,70A,0.92,1187,2,3,3,Relatively New,0,1.0,Mid 
1,77,1.05,1822,3,3,3,New,0,0.0,Low
0,3,5.7,3870,5,5,2,Old,1,1.0,Mid 
1,102,1.75,1931,3,4,3,New,0,1.0,Mid 
1,66,4.6,2500,3,3,3,New,0,4.0,Mid 
0,26,6.0,1800,8,5,3,Old,2,0.0,Low
0,25,16.0,6000,6,5,2,New,0,0.0,Low
1,69,1.38,1539,3,3,1,New,0,1.0,Mid 
1,84,1.5,1963,3,3,3,New,2,1.0,Low
1,70,1.66,1165,3,5,3,New,0,1.0,Mid 
1,35,0.54,845,2,2,3,Relatively New,0,0.0,Low
0,1,4.75,4500,6,7,0,Relatively Old,0,0.0,Low
1,43,2.4,3000,4,4,3,Relatively New,2,0.0,Mid 
1,37D,1.79,1993,4,3,3,New,2,1.0,Low
0,28,1.39,1200,2,2,1,Old,0,1.0,Low
0,57,3.7,1449,8,8,2,Relatively New,2,1.0,Low
0,3A,1.1,1800,8,4,3,Old,0,0.0,Low
1,84,0.36,474,2,2,1,New,1,1.0,Mid 
0,26,4.5,1350,5,5,3,Old,0,0.0,Low
1,92,1.7,1980,3,4,2,Under Construction,0,0.0,Mid 
0,25,4.25,1350,3,2,3,Old,0,1.0,Low
1,108,2.4,1381,2,2,2,Relatively New,2,0.0,Mid 
1,22,6.16,3000,4,5,3,Relatively New,2,2.0,Low
1,3,1.35,1056,2,2,0,Relatively Old,0,0.0,Mid 
1,92,0.82,1523,3,3,3,New,0,0.0,Low
1,82A,3.85,5133,5,6,3,Relatively New,0,2.0,Mid 
1,88A,0.5,597,3,2,2,Under Construction,0,0.0,Low
1,69,1.68,2012,4,4,2,New,0,1.0,Mid 
